nmod,Nombre,Instituto,ordmod,Identificador,Variante,Institutucion,Resolucion,ordmod_Identificador
1,ACCESS-CM2,"CSIRO (Commonwealth Scientific and Industrial Research Organisation), ARCCSS (Australian Research Council Centre of Excellence for Climate System Science)",1,ACCESS-CM2,r1i1p1f1,"CSIRO (Commonwealth Scientific and Industrial Research Organisation), ARCCSS (Australian Research Council Centre of Excellence for Climate System Science)",250 km,1.ACCESS-CM2\n(r1i1p1f1)
2,ACCESS-ESM1-5,Commonwealth Scientific and Industrial Research Organisation,2,ACCESS-ESM1-5,r1i1p1f1,Commonwealth Scientific and Industrial Research Organisation,250 km,2.ACCESS-ESM1-5\n(r1i1p1f1)
3,AWI-CM-1-1-MR,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",3,AWI-CM-1-1-MR,r1i1p1f1,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",100 km,3.AWI-CM-1-1-MR\n(r1i1p1f1)
4,BCC-CSM2-MR,Beijing Climate Center,4,BCC-CSM2-MR,r1i1p1f1,Beijing Climate Center,100 km,4.BCC-CSM2-MR\n(r1i1p1f1)
5,CAMS-CSM1-0,Chinese Academy of Meteorological Sciences,5,CAMS-CSM1-0,r1i1p1f1,Chinese Academy of Meteorological Sciences,100 km,5.CAMS-CSM1-0\n(r1i1p1f1)
6,CanESM5,"Canadian Centre for Climate Modelling and Analysis, Environment and Climate Change",6,CanESM5,r1i1p1f1,"Canadian Centre for Climate Modelling and Analysis, Environment and Climate Change",500 km,6.CanESM5\n(r1i1p1f1)
7,CanESM5-CanOE,"Canadian Centre for Climate Modelling and Analysis, Environment and Climate Change",7,CanESM5-CanOE,r1i1p2f1,"Canadian Centre for Climate Modelling and Analysis, Environment and Climate Change",500 km,7.CanESM5-CanOE\n(r1i1p2f1)
8,CESM2,"National Center for Atmospheric Research, Climate and Global Dynamics Laboratory",8,CESM2,r1i1p1f1,"National Center for Atmospheric Research, Climate and Global Dynamics Laboratory",100 km,8.CESM2\n(r1i1p1f1)
9,CESM2-WACCM,"National Center for Atmospheric Research, Climate and Global Dynamics Laboratory",9,CESM2-WACCM,r1i1p1f1,"National Center for Atmospheric Research, Climate and Global Dynamics Laboratory",100 km,9.CESM2-WACCM\n(r1i1p1f1)
10,CMCC-CM2-SR5,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,10,CMCC-CM2-SR5,r1i1p1f1,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,100 km,10.CMCC-CM2-SR5\n(r1i1p1f1)
11,CMCC-ESM2,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,11,CMCC-ESM2,r1i1p1f1,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,100 km,11.CMCC-ESM2\n(r1i1p1f1)
12,CNRM-ESM2-1,"CNRM (Centre National de Recherches Meteorologiques), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique)",12,CNRM-ESM2-1,r1i1p1f2,"CNRM (Centre National de Recherches Meteorologiques), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique)",250 km,12.CNRM-ESM2-1\n(r1i1p1f2)
13,EC-Earth3-Veg,EC-Earth consortium,13,EC-Earth3-Veg,r2i1p1f1,EC-Earth consortium,100 km,13.EC-Earth3-Veg\n(r2i1p1f1)
14,EC-Earth3-Veg-LR,EC-Earth consortium,14,EC-Earth3-Veg-LR,r1i1p1f1,EC-Earth consortium,250 km,14.EC-Earth3-Veg-LR\n(r1i1p1f1)
15,FGOALS-f3-L,Chinese Academy of Sciences,15,FGOALS-f3-L,r1i1p1f1,Chinese Academy of Sciences,100 km,15.FGOALS-f3-L\n(r1i1p1f1)
16,FGOALS-g3,Chinese Academy of Sciences,16,FGOALS-g3,r1i1p1f1,Chinese Academy of Sciences,250 km,16.FGOALS-g3\n(r1i1p1f1)
17,FIO-ESM-2-0,"FIO (First Institute of Oceanography, State Oceanic Administration), QNLM (Qingdao National Laboratory for Marine Science and Technology)",17,FIO-ESM-2-0,r1i1p1f1,"FIO (First Institute of Oceanography, State Oceanic Administration), QNLM (Qingdao National Laboratory for Marine Science and Technology)",100 km,17.FIO-ESM-2-0\n(r1i1p1f1)
